Job_Title,Industry,Job_Status,AI_Impact_Level,Median_Salary_(USD),Required_Education,Experience_Required_(Years),Job_Openings_(2024),Projected_Openings_(2030),Remote_Work_Ratio,Automation_Risk,Location,Gender_Diversity,Growth_Rate,Risk_Category,Seniority,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.39,0.68,0.6
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.16,0.57,0.56
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.61,0.67,0.7
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.32,0.52,0.36
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.06,1.17,0.53
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.06,0.94,0.41
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.41,0.72,0.6
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.08,0.52,0.37
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.43,0.7,0.51
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.44,1.29,0.41
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.06,0.79,0.34
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.81,1.09,0.37
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.0,1.11,0.55
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.04,0.69,0.52
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.91,0.54,0.5
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.73,1.42,0.6
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.54,0.63,0.42
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.69,1.45,0.55
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.65,1.25,0.55
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.57,1.25,0.45
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.38,0.78,0.59
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.35,0.83,0.49
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.19,1.23,0.36
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.61,1.27,0.48
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.03,0.84,0.69
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.65,1.33,0.32
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.86,0.65,0.48
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.54,0.95,0.48
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.05,1.44,0.51
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.31,0.61,0.64
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.6,0.76,0.51
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.04,0.93,0.32
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.6,1.11,0.51
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.44,0.56,0.69
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.22,0.7,0.37
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.84,0.98,0.51
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.65,1.43,0.36
software engineer,Healthcare,Decreasing,High,102875.23,PhD,5,6308,1454,36.35,1.74,Germany,23.51,-0.7694990488268865,Low,Regular,0.65,1.45,0.62
